medicine_id,medicine_name,category,batch_number,supplier_email,stock_quantity,minimum_stock,reorder_level,safety_stock,lead_time_days,expiry_date,unit_cost
MED001,Amoxicillin 500mg,Antibiotics,B12345,supply@globalmeds.com,500,100,150,50,5,2026-12-31,12.5
MED002,Paracetamol 650mg,Analgesics,B67890,supply@globalmeds.com,1000,200,300,100,3,2027-06-30,5.25
MED003,Metformin 850mg,Antidiabetics,B11223,supply@globalmeds.com,0,50,75,25,7,2025-10-15,18.75
4,Aspirin 608mg,Injection,probably,six,700,456,597,185,990,2025-04-28,190.81
5,Ciprofloxacin 185mg,Capsule,effect,benefit,404,140,314,191,987,2026-03-28,405.53
6,Crocin 523mg,Capsule,radio,possible,512,103,724,16,580,2025-04-03,299.46
7,Pantoprazole 381mg,Tablet,later,forget,593,262,178,408,648,2026-05-13,387.04
8,Metformin 390mg,Cream,process,war,36,313,693,343,131,2024-10-14,352.03
9,Crocin 226mg,Syrup,across,this,274,691,69,978,435,2025-01-14,217.83
10,Aspirin 317mg,Injection,feeling,politics,571,367,333,742,496,2026-01-11,105.71
11,Ibuprofen 530mg,Injection,bar,war,283,164,71,109,923,2025-02-05,145.19
12,Omeprazole 124mg,Tablet,focus,onto,288,228,727,909,838,2026-05-04,256.98
13,Azithromycin 421mg,Cream,note,four,285,221,371,776,29,2024-07-20,479.7
14,Levocetirizine 270mg,Syrup,without,ask,262,956,322,351,679,2025-09-28,470.09
15,Aspirin 636mg,Syrup,benefit,with,981,813,739,329,832,2025-10-17,223.87
16,Crocin 184mg,Syrup,product,worry,372,370,155,490,485,2025-03-14,456.04
17,Azithromycin 592mg,Injection,these,money,581,573,665,207,637,2026-02-12,454.85
18,Cetirizine 549mg,Tablet,western,high,294,984,969,899,138,2026-05-14,137.92
19,Diclofenac 411mg,Syrup,anything,line,676,887,521,531,543,2025-01-30,131.32
20,Ciprofloxacin 291mg,Syrup,maybe,father,971,786,971,671,316,2024-07-23,499.28
21,Aspirin 344mg,Syrup,day,listen,496,583,338,921,795,2025-08-10,425.34
22,Pantoprazole 350mg,Capsule,pretty,budget,849,506,345,811,356,2025-07-04,305.96
23,Vitamin C 357mg,Cream,always,leader,467,653,349,563,243,2025-10-04,84.53
