Medicine_ID,Medicine_Name,Generic_Name,Category,Manufacturer,Dosage_Form,Strength,Unit_Price_INR,Pack_Size,Quantity_In_Stock,Reorder_Level,Batch_Number,Manufacturing_Date,Expiry_Date,Prescription_Required,Schedule,Storage_Condition,Description
MED0001,Dolo,Paracetamol,Opioid Analgesic,Wockhardt Ltd.,Injection,1g,796.23,20,4400,172,II9686,2025-10-19,2028-03-25,No,H,Refrigerate at 2-8°C,"Paracetamol 1g Injection used for treatment"
MED0002,Crocin,Ibuprofen,Thyroid,Alkem Labs,Powder,200mg,587.97,100,174,18,HF5820,2025-09-26,2029-08-24,Yes,OTC,Store below 25°C in a dry place,"Ibuprofen 200mg Powder used for treatment"
MED0003,Paracip,Diclofenac Sodium,Antiemetic,Ajanta Pharma,Solution,400mg,302.28,20,2070,153,JN8173,2025-11-27,2028-05-27,Yes,H,Store in cool and dry place,"Diclofenac Sodium 400mg Solution used for treatment"
MED0004,Calpol,Mefenamic Acid,Antacid,Wockhardt Ltd.,Suppository,2.5mg,603.81,60,1269,19,CF2154,2024-10-13,2026-10-17,Yes,H,Refrigerate at 2-8°C,"Mefenamic Acid 2.5mg Suppository used for treatment"
MED0005,Combiflam,Aceclofenac,Antibiotic,Zydus Cadila,Gel,100ml,430.14,500ml,775,158,RM2902,2025-08-06,2026-02-03,Yes,OTC,Store below 30°C away from light,"Aceclofenac 100ml Gel used for treatment"
MED0006,Saridon,Aspirin,Urology,Abbott India,Capsule,1g,220.50,10,1836,10,XM8110,2024-02-10,2027-05-02,No,G,Refrigerate at 2-8°C,"Aspirin 1g Capsule used for treatment"
MED0007,Disprin,Azithromycin,Antitubercular,MSD Pharma,Ointment,1g,615.00,15,4308,65,YL3385,2025-12-08,2028-07-20,No,H,Store at room temperature (15-30°C),"Azithromycin 1g Ointment used for treatment"
MED0008,Ecosprin,Amoxicillin,Urology,Ajanta Pharma,Inhaler,7.5mg,389.94,10,4107,111,AI9585,2025-05-13,2026-09-23,Yes,OTC,Store below 30°C away from light,"Amoxicillin 7.5mg Inhaler used for treatment"
MED0009,Aspirin,Amoxicillin+Clavulanate,Antitubercular,Emcure Pharma,Ointment,37.5mg,896.68,500ml,4820,113,HO3225,2024-02-04,2028-10-18,Yes,H1,Keep in a dry place away from sunlight,"Amoxicillin+Clavulanate 37.5mg Ointment used for treatment"
MED0010,Brufen,Ciprofloxacin,Anticoagulant,Alkem Labs,Cream,500mg,187.84,15,3858,144,MB8450,2024-01-14,2028-08-22,Yes,H1,Protect from moisture and light,"Ciprofloxacin 500mg Cream used for treatment"
