Medicine_ID,Mediicne_Name,Generic_Name,Catgory,Manufacturer,Dosage_Form,Strenght,Unit_Price_INR,Pack_Size,Quantity_In_Stock,Reorder_Level,Batch_Number,Manufacturing_Date,Expiry_Date,Prescription_Required,Schedule,Storage_Condition,Description,Extra_Column

,,,,,,,,,,,,,,,,,
MED0003	Paracip	Diclofenac Sodium	Anticoagulant	Biocon Ltd.	Ointment	25mg	745.51	200ml	1960	190	JW8088	2025-09-27	2029-03-20	No	X	Store below 30°C away from light	Diclofenac Sodium 25mg Ointment used for treatment
MED0004;Calpol;Mefenamic Acid;Antipsychotic;Ipca Labs;Drops;250mg;862.07;100ml;1001;73;XQ7004;2025-04-18;2027-07-21;No;OTC;Protect from moisture and light;Mefenamic Acid 250mg Drops used for treatment
MED0005,Combiflam,Aceclofenac,,
MED0006,Saridon,Aspirin,Opioid Analgesic,AstraZeneca,Syrup,75mg,253.82,15,631,169,TS5156,2024-04-14,2028-08-07,Yes,X,Refrigerate at 2-8°C,Aspirin 75mg Syrup used for treatment,extra1,extra2,extra3
,Disprin,Azithromycin,Anticonvulsant,Ipca Labs,Injection,75mg,779.36,100ml,2734,170,ZH3548,2025-03-04,2027-02-16,Yes,X,Store below 30°C away from light,Azithromycin 75mg Injection used for treatment
MED0008,Ecosprin,Amoxicillin,Bronchodilator,Alkem Labs,Injection,1%,-200.33,20,3909,170,FL9146,2024-09-28,2027-05-12,No,X,Store at room temperature (15-30°C),Amoxicillin 1% Injection used for treatment
MED0009,Aspirin,Amoxicillin+Clavulanate,Corticosteroid,Natco Pharma,Suppository,5ml,FREE,100ml,1606,70,DW6529,2025-01-17,2029-05-17,No,OTC,Store in cool and dry place,Amoxicillin+Clavulanate 5ml Suppository used for treatment
MED0010,Brufen,Ciprofloxacin,Antitubercular,Hetero Labs,Suspension,400mg,67.91,15,-50,152,LA5877,2024-10-07,2029-05-13,Yes,H,Store below 30°C away from light,Ciprofloxacin 400mg Suspension used for treatment
MED0011,Ibugesic,Norfloxacin,Vitamin,Hetero Labs,Capsule,7.5mg,777.01,100,1322,103,OG6708,2025-06-15,2024-01-10,No,H,Store at room temperature (15-30°C),Norfloxacin 7.5mg Capsule used for treatment
MED0012,Voveran,Ofloxacin,Statin,Biocon Ltd.,Syrup,200mg,880.35,200ml,202,117,VU6888,15/06/2025,10/01/2028,No,OTC,Keep in a dry place away from sunlight,Ofloxacin 200mg Syrup used for treatment
MED0013,Diclomol,Levofloxacin,Statin,Ipca Labs,Patch,500mg,263.43,30,4928,155,LA6386,06-15-2025,01-10-2028,No,X,Protect from moisture and light,Levofloxacin 500mg Patch used for treatment
MED0014,Flexon,Metronidazole,Antidepressant,Ipca Labs,Powder,75mg,814.88,20,591,16,CJ9974,2025-13-45,2028-00-00,No,H1,Store below 30°C away from light,Metronidazole 75mg Powder used for treatment
MED0015,Meftal,Tinidazole,Anticonvulsant,Bayer India,Drops,15ml,724.95,15,2645,160,IN8506,not-a-date,tomorrow,Yes,G,Store below 30°C away from light,Tinidazole 15ml Drops used for treatment
